id,balance,user_id
0,3000.0,112
1,-465.66,112
2,372.81,104
3,229.73,198
4,1998.48,316
5,0.1,143
6,3505.63,235
7,773.2,35
8,3468.08,172
9,-867.08,71
10,0.82,118
11,21.44,341
12,429.87,197
13,12.24,197
14,54.64,38
15,0.01,164
16,1.7,188
17,-427.91,243
18,98.51,243
19,0.11,119
20,1.15,146
21,0.48,146
22,304.16,222
23,10.76,222
24,0.84,44
25,606.99,56
26,1359.48,139
27,-16.5,136
28,160.39,258
29,1528.17,258
30,368.12,258
31,14.33,150
32,4.0,32
33,7138.82,107
34,2.93,177
35,2826.49,101
36,1469.38,333
37,49.55,216
38,4377.08,113
39,0.77,0
40,2.16,0
41,34058.13,87
42,134.82,87
43,2532.17,232
44,1.18,40
45,5823.1,41
46,811.4,251
47,1363.41,28
48,7323.35,290
49,266.12,290
50,1.67,215
51,342.25,211
52,-165.2,340
53,1.53,340
54,83.79,100
55,2526.73,200
56,6180.46,200
57,5655.9,207
58,95.47,207
59,4208.9,301
60,1893.47,26
61,230.36,39
62,-2074.08,82
63,0.1,82
64,-610.31,82
65,15.64,6
66,310.14,312
67,411.32,97
68,922.88,201
69,594.91,322
70,-7151.69,289
71,13.76,244
72,8.33,244
73,320.3,115
74,2.58,278
75,813.92,168
76,862.65,307
77,25.18,307
78,5.46,94
79,2573.44,270
80,0.43,229
81,4436.29,31
82,59.2,53
83,6.54,63
84,7.67,63
85,1.36,281
86,10920.86,281
87,6900.0,281
88,2760.97,281
89,144.47,281
90,306.36,70
91,2639.78,321
92,8004.88,321
93,632.29,241
94,-972.11,241
95,8.64,273
96,0.66,273
97,179.2,280
98,1169.36,128
99,3682.43,9
100,887.51,328
101,-984.33,30
102,616.1,114
103,3586.48,174
104,3875.0,174
105,1905.38,303
106,660.57,43
107,2.63,152
108,1083.82,263
109,68.47,48
110,15148.36,65
111,1889.34,65
112,18756.96,155
113,-4.25,85
114,-1194.03,85
115,0.03,324
116,-16.9,324
117,1.2,154
118,402.72,154
119,244.37,308
120,0.07,54
121,2513.92,266
122,1.07,208
123,0.48,220
124,-117.13,268
125,2.93,334
126,2.42,74
127,-296.33,81
128,-625.42,81
129,228.71,10
130,20769.08,228
131,4.71,300
132,1.07,209
133,17171.28,14
134,3.0,11
135,3.37,75
136,7791.34,36
137,4915.33,36
138,1071.7,99
139,-83.72,151
140,30.17,151
141,10.0,51
142,-810.41,51
143,166.9,51
144,312.05,131
145,2079.34,131
146,-46.86,214
147,2329.11,199
148,21990.59,199
149,293.08,192
150,443.58,272
151,-100.08,116
152,6463.73,55
153,2235.29,55
154,31.74,225
155,248.72,129
156,90.0,298
157,8449.56,298
158,5.79,157
159,76.24,157
160,684.13,291
161,88.23,2
162,6098.36,111
163,31.26,170
164,4951.91,17
165,34.47,37
166,224.67,37
167,0.42,189
168,2824.48,5
169,303.61,178
170,2147.37,178
171,3630.22,240
172,121.98,169
173,1797.87,163
174,82.28,46
175,0.41,109
176,3492.44,72
177,55.41,148
178,874.76,287
179,-3691.65,309
180,-248.99,338
181,2530.09,121
182,3690.08,58
183,-391.62,293
184,1474.32,7
185,2372.7,102
186,10624.64,102
187,2.5,93
188,0.09,105
189,235.91,27
190,79.16,27
191,949.62,195
192,-153.46,288
193,-153.2,256
194,2363.62,25
195,-13474.33,292
196,66.22,110
197,1.62,110
198,453.68,171
199,19.54,171
200,1647.78,186
201,0.18,52
202,426.21,275
203,-111.26,117
204,-176.38,330
205,822.36,330
206,17.72,330
207,37.59,330
208,0.64,330
209,2.27,69
210,-368.12,64
211,-313.69,18
212,-920.38,224
213,322.8,66
214,1.14,66
215,-357.04,153
216,-241.56,223
217,1.0,261
218,6.66,260
219,685.12,260
220,4820.76,126
221,1093.88,88
222,1428.7,314
223,-66.75,267
224,0.92,89
225,28609.66,255
226,1.31,269
227,-10.33,269
228,78.35,234
229,0.26,249
230,9296.26,125
231,20.55,259
232,25.43,179
233,556.92,313
234,1615.21,332
235,1.49,305
236,0.04,98
237,10.31,120
238,15.1,120
239,1047.03,231
240,17.96,320
241,10.75,166
242,3.89,166
243,3678.36,264
244,332.56,250
245,11.23,250
246,124.05,19
247,2071.25,19
248,-5990.2,19
249,8159.81,19
250,-978.92,277
251,-1331.18,277
252,3139.35,204
253,-330.89,217
254,3.71,132
255,-911.66,294
256,0.22,184
257,2834.9,339
258,362.82,15
259,1.7,295
260,1.0,331
