name;code
Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;0111Z
Culture du riz;0112Z
Culture de légumes, de melons, de racines et de tubercules;0113Z
Culture de la canne à sucre;0114Z
Culture du tabac;0115Z
Culture de plantes à fibres;0116Z
Autres cultures non permanentes;0119Z
Culture de la vigne;0121Z
Culture de fruits tropicaux et subtropicaux;0122Z
Culture d'agrumes;0123Z
Culture de fruits à pépins et à noyau;0124Z
Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;0125Z
Culture de fruits oléagineux;0126Z
Culture de plantes à boissons;0127Z
Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;0128Z
Autres cultures permanentes;0129Z
Reproduction de plantes;0130Z
Élevage de vaches laitières;0141Z
Élevage d'autres bovins et de buffles;0142Z
Élevage de chevaux et d'autres équidés;0143Z
Élevage de chameaux et d'autres camélidés;0144Z
Élevage d'ovins et de caprins;0145Z
Élevage de porcins;0146Z
Élevage de volailles;0147Z
Élevage d'autres animaux;0149Z
Culture et élevage associés;0150Z
Activités de soutien aux cultures;0161Z
Activités de soutien à la production animale;0162Z
Traitement primaire des récoltes;0163Z
Traitement des semences;0164Z
Chasse, piégeage et services annexes;0170Z
Sylviculture et autres activités forestières;0210Z
Exploitation forestière;0220Z
Récolte de produits forestiers non ligneux poussant à l'état sauvage;0230Z
Services de soutien à l'exploitation forestière;0240Z
Pêche en mer;0311Z
Pêche en eau douce;0312Z
Aquaculture en mer;0321Z
Aquaculture en eau douce;0322Z
Extraction de houille;0510Z
Extraction de lignite;0520Z
Extraction de pétrole brut;0610Z
Extraction de gaz naturel;0620Z
Extraction de minerais de fer;0710Z
Extraction de minerais d'uranium et de thorium;0721Z
Extraction d'autres minerais de métaux non ferreux;0729Z
Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise;0811Z
Exploitation de gravières et sablières, extraction d'argiles et de kaolin;0812Z
Extraction des minéraux chimiques et d'engrais minéraux;0891Z
Extraction de tourbe;0892Z
Production de sel;0893Z
Autres activités extractives n.c.a.;0899Z
Activités de soutien à l'extraction d'hydrocarbures;0910Z
Activités de soutien aux autres industries extractives;0990Z
Transformation et conservation de la viande de boucherie;1011Z
Transformation et conservation de la viande de volaille;1012Z
Préparation industrielle de produits à base de viande;1013A
Charcuterie;1013B
Transformation et conservation de poisson, de crustacés et de mollusques;1020Z
Transformation et conservation de pommes de terre;1031Z
Préparation de jus de fruits et légumes;1032Z
Autre transformation et conservation de légumes;1039A
Transformation et conservation de fruits;1039B
Fabrication d'huiles et graisses brutes;1041A
Fabrication d'huiles et graisses raffinées;1041B
Fabrication de margarine et graisses comestibles similaires;1042Z
Fabrication de lait liquide et de produits frais;1051A
Fabrication de beurre;1051B
Fabrication de fromage;1051C
Fabrication d'autres produits laitiers;1051D
Fabrication de glaces et sorbets;1052Z
Meunerie;1061A
Autres activités du travail des grains;1061B
Fabrication de produits amylacés;1062Z
Fabrication industrielle de pain et de pâtisserie fraîche;1071A
Cuisson de produits de boulangerie;1071B
Boulangerie et boulangerie-pâtisserie;1071C
Pâtisserie;1071D
Fabrication de biscuits, biscottes et pâtisseries de conservation;1072Z
Fabrication de pâtes alimentaires;1073Z
Fabrication de sucre;1081Z
Fabrication de cacao, chocolat et de produits de confiserie;1082Z
Transformation du thé et du café;1083Z
Fabrication de condiments et assaisonnements;1084Z
Fabrication de plats préparés;1085Z
Fabrication d'aliments homogénéisés et diététiques;1086Z
Fabrication d'autres produits alimentaires n.c.a.;1089Z
Fabrication d'aliments pour animaux de ferme;1091Z
Fabrication d'aliments pour animaux de compagnie;1092Z
Production de boissons alcooliques distillées;1101Z
Fabrication de vins effervescents;1102A
Vinification;1102B
Fabrication de cidre et de vins de fruits;1103Z
Production d'autres boissons fermentées non distillées;1104Z
Fabrication de bière;1105Z
Fabrication de malt;1106Z
Industrie des eaux de table;1107A
Production de boissons rafraîchissantes;1107B
Fabrication de produits à base de tabac;1200Z
Préparation de fibres textiles et filature;1310Z
Tissage;1320Z
Ennoblissement textile;1330Z
Fabrication d'étoffes à mailles;1391Z
Fabrication d'articles textiles, sauf habillement;1392Z
Fabrication de tapis et moquettes;1393Z
Fabrication de ficelles, cordes et filets;1394Z
Fabrication de non-tissés, sauf habillement;1395Z
Fabrication d'autres textiles techniques et industriels;1396Z
