id,update_date,business_NAF_code
0,2020-09-27,8219Z
1,2020-09-27,6201Z
2,2020-09-27,6201Z
3,2020-09-27,6201Z
4,2020-09-27,6201Z
5,2020-09-27,7022Z
6,2020-09-27,6201Z
7,2020-09-27,4332A
8,2020-09-27,6201Z
9,2020-09-27,5911A
10,2020-09-27,8551Z
11,2020-09-27,4932Z
12,2020-09-27,7022Z
13,2020-09-27,6201Z
14,2020-09-27,6201Z
15,2020-09-27,5320Z
16,2020-09-27,6831Z
17,2020-09-27,9511Z
18,2020-09-26,7022Z
19,2020-09-27,8690D
20,2020-09-27,8559A
21,2020-09-27,6201Z
22,2020-09-27,6190Z
23,2020-09-27,8551Z
24,2020-09-27,6201Z
25,2020-09-27,7022Z
26,2020-09-27,6202A
27,2020-09-26,7410Z
28,2020-09-27,7220Z
29,2020-09-27,7022Z
30,2020-09-27,8010Z
31,2020-09-27,6202B
32,2020-09-27,7022Z
33,2020-09-27,6202A
34,2020-09-27,7022Z
35,2020-09-27,9101Z
36,2020-09-27,7022Z
37,2020-09-26,6202A
38,2020-09-27,4321A
39,2020-09-27,4619B
40,2020-09-27,4120A
41,2020-09-27,5610C
42,2020-09-27,5621Z
43,2020-09-27,6202A
44,2020-09-27,4399B
45,2020-09-27,6201Z
46,2020-09-27,7022Z
47,2020-09-27,4791A
48,2020-09-26,6619B
49,2020-09-27,9001Z
50,2020-09-27,8690F
51,2020-09-27,9329Z
52,2020-09-27,7021Z
53,2020-09-27,6201Z
54,2020-09-27,7490B
55,2020-09-27,7022Z
56,2020-09-27,7022Z
57,2020-09-27,6202A
58,2020-09-27,4333Z
59,2020-09-27,4932Z
60,2020-09-27,6201Z
61,2020-09-27,4333Z
62,2020-09-27,9609Z
63,2020-09-27,5610C
64,2020-09-27,4399C
65,2020-09-27,5520Z
66,2020-09-27,7311Z
67,2020-09-27,7830Z
68,2020-09-27,4775Z
69,2020-09-27,4932Z
70,2020-09-27,5911C
71,2020-09-27,4778C
72,2020-09-27,4532Z
73,2020-09-27,6202A
74,2020-09-27,4791B
75,2020-09-27,5320Z
76,2020-09-27,6202B
77,2020-09-27,4932Z
78,2020-09-27,4331Z
79,2020-09-27,4619B
80,2020-09-27,7022Z
81,2020-09-27,6201Z
82,2020-09-27,6202A
83,2020-09-27,5320Z
84,2020-09-27,6201Z
85,2020-09-27,8559A
86,2020-09-27,4932Z
87,2020-09-27,7420Z
88,2020-09-27,5610C
89,2020-09-27,4322A
90,2020-09-27,8211Z
91,2020-09-27,7022Z
92,2020-09-27,6831Z
93,2020-09-27,4932Z
94,2020-09-27,5320Z
95,2020-09-27,7022Z
96,2020-09-27,1610A
97,2020-09-27,5621Z
98,2020-09-26,4799A
99,2020-09-27,7022Z
100,2020-09-26,8559B
101,2020-09-27,4321A
102,2020-09-27,7022Z
103,2020-09-27,4932Z
104,2020-09-27,4932Z
105,2020-09-27,4799A
106,2020-09-27,6910Z
107,2020-09-27,6201Z
108,2020-09-27,7022Z
109,2020-09-27,8552Z
110,2020-09-27,7721Z
111,2020-09-27,7022Z
112,2020-09-26,9001Z
113,2020-09-27,4741Z
114,2020-09-27,4764Z
115,2020-09-27,5610A
116,2020-09-27,4333Z
117,2020-09-27,4932Z
118,2020-09-27,8299Z
119,2020-09-27,5320Z
120,2020-09-27,8010Z
121,2020-09-27,4741Z
122,2020-09-27,4799A
123,2020-09-27,4520A
124,2020-09-27,4690Z
125,2020-09-27,7021Z
126,2020-09-27,6202A
127,2020-09-27,4399C
128,2020-09-27,4332A
129,2020-09-27,7021Z
130,2020-09-27,4520A
131,2020-09-27,5912Z
132,2020-09-27,4520A
133,2020-09-26,6202A
134,2020-09-27,5320Z
135,2020-09-27,8230Z
136,2020-09-27,8130Z
137,2020-09-27,8552Z
138,2020-09-27,4791B
139,2020-09-27,8121Z
140,2020-09-27,8121Z
141,2020-09-27,4932Z
142,2020-09-27,4932Z
143,2020-09-27,5320Z
144,2020-09-27,5320Z
145,2020-09-27,7022Z
146,2020-09-27,7112B
147,2020-09-27,6202A
148,2020-09-27,7022Z
149,2020-09-26,5320Z
150,2020-09-27,7022Z
151,2020-09-27,4741Z
152,2020-09-26,6010Z
153,2020-09-27,4321A
154,2020-09-27,4334Z
155,2020-09-27,6202A
156,2020-09-27,4791B
157,2020-09-27,9602B
158,2020-09-27,4520A
159,2020-09-27,4333Z
160,2020-09-27,7410Z
161,2020-09-27,4791A
162,2020-09-27,4791A
163,2020-09-27,7112B
164,2020-09-27,5320Z
165,2020-09-27,4932Z
166,2020-09-27,4764Z
167,2020-09-27,7420Z
168,2020-09-26,7420Z
169,2020-09-27,6201Z
170,2020-09-27,5320Z
171,2020-09-27,4778C
172,2020-09-27,6201Z
173,2020-09-27,9609Z
174,2020-09-27,7711A
175,2020-09-27,6202A
176,2020-09-27,5320Z
177,2020-09-26,8121Z
178,2020-09-27,4791B
179,2020-09-27,4511Z
180,2020-09-27,4511Z
181,2020-09-27,4932Z
182,2020-09-27,4619B
183,2020-09-27,4332A
184,2020-09-27,4399C
185,2020-09-26,4771Z
186,2020-09-27,7022Z
187,2020-09-27,9512Z
188,2020-09-27,5320Z
189,2020-09-27,5320Z
190,2020-09-27,3299Z
191,2020-09-27,5320Z
192,2020-09-27,4932Z
193,2020-09-27,4511Z
194,2020-09-27,5320Z
195,2020-09-27,5829C
196,2020-09-27,4932Z
197,2020-09-27,6201Z
198,2020-09-27,6831Z
199,2020-09-27,7022Z
200,2020-09-27,6831Z
201,2020-09-27,6202A
202,2020-09-27,5320Z
203,2020-09-27,4791A
204,2020-09-26,8030Z
205,2020-09-27,4321A
206,2020-09-27,4932Z
207,2020-09-27,7022Z
208,2020-09-27,4791A
209,2020-09-27,4791A
210,2020-09-27,5320Z
211,2020-09-27,8110Z
212,2020-09-27,4741Z
213,2020-09-27,5320Z
214,2020-09-27,5320Z
215,2020-09-27,6201Z
216,2020-09-27,7022Z
217,2020-09-27,6619B
218,2020-09-27,9003A
219,2020-09-26,4932Z
220,2020-09-27,9003B
